step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
7,TRANSFER,929560.4,C1329505805,150562.57,0.0,C1787868648,8171.0,15128076.87,0,0
7,PAYMENT,823.18,C420504560,0.0,0.0,M916634690,0.0,0.0,0,0
7,PAYMENT,8053.3,C1954091312,0.0,0.0,M1313722236,0.0,0.0,0,0
7,PAYMENT,4095.66,C1415068326,438279.0,434183.34,M2000407747,0.0,0.0,0,0
7,PAYMENT,49.37,C1274524549,50253.0,50203.63,M1801565096,0.0,0.0,0,0
7,PAYMENT,3477.3,C2130262376,50203.63,46726.33,M1468907424,0.0,0.0,0,0
7,TRANSFER,584124.34,C563103055,199009.0,0.0,C1621383518,12159.0,1190896.64,0,0
7,PAYMENT,5040.3,C1191857702,10281.0,5240.7,M1888423382,0.0,0.0,0,0
7,PAYMENT,1214.27,C1254481112,40398.0,39183.73,M1776042738,0.0,0.0,0,0
7,CASH_IN,37836.53,C2092059281,71379.0,109215.53,C128321421,1082.0,0.0,0,0
7,PAYMENT,711.01,C1960515948,1077.0,365.99,M270284851,0.0,0.0,0,0
7,CASH_OUT,45447.15,C459023120,365.99,0.0,C1508631684,107777.0,104710.0,0,0
7,CASH_OUT,32500.9,C1968444456,0.0,0.0,C30079792,51622.0,1536473.0,0,0
7,PAYMENT,11893.29,C1500017559,5633.0,0.0,M675546409,0.0,0.0,0,0
7,PAYMENT,5267.09,C1383790482,50283.0,45015.91,M123358369,0.0,0.0,0,0
7,PAYMENT,4277.71,C498365206,337.0,0.0,M357650628,0.0,0.0,0,0
7,PAYMENT,11815.37,C278061979,0.0,0.0,M1165527660,0.0,0.0,0,0
7,CASH_IN,207193.81,C2078960918,408890.0,616083.81,C341156724,67129.0,285438.93,0,0
7,PAYMENT,11838.61,C1680004575,168470.0,156631.39,M1672183035,0.0,0.0,0,0
7,PAYMENT,666.64,C1644273928,9158.0,8491.36,M1244394115,0.0,0.0,0,0
7,TRANSFER,585352.48,C945113652,117202.37,0.0,C968448640,20966.38,3438487.71,0,0
7,PAYMENT,7644.51,C10593633,0.0,0.0,M1875336604,0.0,0.0,0,0
7,PAYMENT,1161.19,C2062357773,0.0,0.0,M1752953998,0.0,0.0,0,0
7,PAYMENT,13950.5,C1702678093,1271.0,0.0,M813847747,0.0,0.0,0,0
7,PAYMENT,808.24,C584415907,20540.0,19731.76,M356333043,0.0,0.0,0,0
7,PAYMENT,7990.18,C380669887,130850.0,122859.82,M876013030,0.0,0.0,0,0
7,PAYMENT,4914.48,C1027576225,102441.0,97526.52,M1104263512,0.0,0.0,0,0
7,PAYMENT,10041.85,C1401822122,97526.52,87484.67,M1351933416,0.0,0.0,0,0
7,DEBIT,5637.37,C292027586,30424.0,24786.63,C542220524,98719.13,0.0,0,0
7,TRANSFER,836758.63,C1563466959,84860.0,0.0,C1052170153,2323.0,151635.37,0,0
7,PAYMENT,13455.08,C2118160264,60680.0,47224.92,M147678773,0.0,0.0,0,0
7,PAYMENT,9410.16,C643963394,5007.0,0.0,M2137865445,0.0,0.0,0,0
7,PAYMENT,12061.98,C86753359,3047.0,0.0,M1714745873,0.0,0.0,0,0
7,PAYMENT,1365.02,C1345345247,1953.0,587.98,M1185727016,0.0,0.0,0,0
7,PAYMENT,15378.78,C501111562,587.98,0.0,M1547405018,0.0,0.0,0,0
7,PAYMENT,23923.09,C242197804,14038.0,0.0,M787647307,0.0,0.0,0,0
7,PAYMENT,3952.83,C1092326292,10549.0,6596.17,M1100398651,0.0,0.0,0,0
7,TRANSFER,472352.26,C841178080,6596.17,0.0,C11003494,15026180.08,15487289.9,0,0
7,PAYMENT,21354.7,C145827388,99221.0,77866.3,M363565965,0.0,0.0,0,0
7,PAYMENT,12609.9,C1649085979,77866.3,65256.4,M1251980777,0.0,0.0,0,0
7,PAYMENT,9493.68,C1268705856,15777.0,6283.32,M39857989,0.0,0.0,0,0
7,CASH_OUT,178836.34,C954323652,6283.32,0.0,C1805683209,5876339.66,7428081.5,0,0
